number,beeldbank_link,image_link,type,research_and_notes,specific_location,longitude,latitude,number_of_people,children,adults,people_identified,source
96962,https://beeldbankwo2.nl/nl/beelden/detail/4e0d8804-025a-11e7-904b-d89d6717b464/media/8614680a-bb2b-2351-c3ac-9acfc02d1978?mode=detail&view=horizontal&q=96962&rows=1&page=1,'https://images.memorix.nl/niod/download/default/8614680a-bb2b-2351-c3ac-9acfc02d1978.jpg',portrait,"Made by J. van Rhijn, based in Rotterdam",Rotterdam ,4.462456,51.926517,1,0,1,0,"Brandgrens, Stadsarchief Rotterdam | Archief"
161314,https://beeldbankwo2.nl/nl/beelden/detail/b6f60f62-025a-11e7-904b-d89d6717b464/media/10384b90-c2bb-f4f7-d44a-a40bc6e4df1e?mode=detail&view=horizontal&q=161314&rows=1&page=1,'https://images.memorix.nl/niod/download/default/10384b90-c2bb-f4f7-d44a-a40bc6e4df1e.jpg',portrait,Hans & Ruth Abraham 1943,Amsterdam ,4.897070,52.377956,2,2,0,2,
161488,https://beeldbankwo2.nl/nl/beelden/detail/b73b74c6-025a-11e7-904b-d89d6717b464/media/fc68ff2d-b648-7057-61e4-63a77dcfb861?mode=detail&view=horizontal&q=161488&rows=1&page=1,https://images.memorix.nl/niod/download/default/fc68ff2d-b648-7057-61e4-63a77dcfb861.jpg',portrait,synagoge dienst 1 januari 1942,"Portuguese synagoge, Amsterdam ",4.905239,52.367824,30+,0,30+,0,
161269,https://beeldbankwo2.nl/nl/beelden/detail/b6e027b0-025a-11e7-904b-d89d6717b464/media/b29ba583-5013-598c-1acc-d854d550a3ee?mode=detail&view=horizontal&q=161269&rows=1&page=1,'https://images.memorix.nl/niod/download/default/b29ba583-5013-598c-1acc-d854d550a3ee.jpg',portrait,Hartog (☨ 1942) & Abraham Benjamins (☨ 1943) (brothers),Woudrichem,5.00139,51.815,2,0,2,2,Beeldbank
161421,https://beeldbankwo2.nl/nl/beelden/detail/b71fac50-025a-11e7-904b-d89d6717b464/media/c1176a99-188a-8e7a-27bd-350b58723184?mode=detail&view=horizontal&q=161421&rows=1&page=11,https://images.memorix.nl/niod/download/default/c1176a99-188a-8e7a-27bd-350b58723184.jpg',portrait,"Bram Beem, was brought to Auschwitz in 1944 and killed there",Elspeet ,5.787777,52.291111,1,1,0,1,Beeldbank
161529,https://beeldbankwo2.nl/nl/beelden/detail/b74bfd00-025a-11e7-904b-d89d6717b464/media/f3f50b91-67a2-30de-d75f-dca2ef9c125a?mode=detail&view=horizontal&q=161529&rows=1&page=1,https://images.memorix.nl/niod/download/default/f3f50b91-67a2-30de-d75f-dca2ef9c125a.jpg',portrait,Promotion Leo Isaac Swaab (student in Ams),Amsterdam ,4.897070,52.377956,6,0,6,1,Beeldbank
161162,https://beeldbankwo2.nl/nl/beelden/detail/b6b8424a-025a-11e7-904b-d89d6717b464/media/f1768541-cf4f-1188-6c75-e2e0cb94cab9?mode=detail&view=horizontal&q=161162&rows=1&page=1,https://images.memorix.nl/niod/download/default/f1768541-cf4f-1188-6c75-e2e0cb94cab9.jpg',portrait,"David van Dal (1918-1943), Anna Israel-van Dal (1908-1943) en Esther Israel (1927-1943). David & Anna are siblings, Esther is Anna's child.",Amsterdam ,4.897071,52.377957,3,1,2,3,Beeldbank & https://www.joodsmonument.nl/nl/page/667212/de-familie-van-anna-van-dal-en-salomon-israel
161372,https://beeldbankwo2.nl/nl/beelden/detail/b70ce390-025a-11e7-904b-d89d6717b464/media/f7a32a57-3b69-f0e5-efe0-d95f1c79fd05?mode=detail&view=horizontal&q=161372&rows=1&page=1,https://images.memorix.nl/niod/download/default/f7a32a57-3b69-f0e5-efe0-d95f1c79fd05.jpg',portrait,"Beeldbank says Roza and Jim de Zwarte, but its not them... tkane by J. Colson who did photographs in City Hall Amsterdam.","City hall, Amsterdam",4.912409583,52.36682439,8,0,8,0,Beeldbank (beeldbankwo2.nl) same couple wrong names
161408,https://beeldbankwo2.nl/nl/beelden/detail/b71ac5fa-025a-11e7-904b-d89d6717b464/media/53bb586f-9ed7-2cfb-aeba-ad8472a117ca?mode=detail&view=horizontal&q=161408&rows=1&page=1,https://images.memorix.nl/niod/download/default/53bb586f-9ed7-2cfb-aeba-ad8472a117ca.jpg',portrait,"Jac. Zwarts, professor and writer in Utrecht. Was sent to Vledder camp in october 1942. Picture taken at his promotion dinner in 1942 probably in Utrecht.",Utrecht ,5.104480,52.092876,1,0,1,0,Jac.Zwarts in beeld – Utrecht en de Joden (jodeninutrecht.nl)
161495,https://beeldbankwo2.nl/nl/beelden/detail/b73e8e68-025a-11e7-904b-d89d6717b464/media/efc0a8c6-a16c-84d9-0654-db6499ec33ca?mode=detail&view=horizontal&q=161495&rows=1&page=1,https://images.memorix.nl/niod/download/default/efc0a8c6-a16c-84d9-0654-db6499ec33ca.jpg',portrait,Emanual Swaab and Margaretha van Witsen marital picture april 1942 by G. Leefmans,Amsterdam ,4.897070,52.377956,6,5,1,2,Beeldbank & https://www.europeana.eu/en/item/272/resource_document_jhm_foto_F302196 & https://www.oorlogsbronnen.nl/artikel/een-wanhoopsdaad-van-liefde
161496,https://beeldbankwo2.nl/nl/beelden/detail/b73eec46-025a-11e7-904b-d89d6717b464/media/58b954c1-d3b2-cbd7-3fa6-28c1169b255a?mode=detail&view=horizontal&q=161496&rows=1&page=1,https://images.memorix.nl/niod/download/default/58b954c1-d3b2-cbd7-3fa6-28c1169b255a.jpg',portrait,Emanual Swaab and Margaretha van Witsen marital picture april 1942. Child: Betty Stella Swaab ,Amsterdam ,4.897071,52.377957,8,0,8,2,Stambomen van Nederlands Joodse families - Hoofdindex (maxvandam.info)
161292,https://beeldbankwo2.nl/nl/beelden/detail/b6edb092-025a-11e7-904b-d89d6717b464/media/9319daa8-d175-02dc-168b-08ddf8e9410a?mode=detail&view=horizontal&q=161292&rows=1&page=1,https://images.memorix.nl/niod/download/default/9319daa8-d175-02dc-168b-08ddf8e9410a.jpg',portrait,"Arend Gombert Englander, taken by Elisabeth List. Probably in the Landweer, but on the source there is also 'Vledder' as location which is weird","Camp De Landweer, Elsloo",6.2375,52.942778,1,0,1,1,"Joods Historisch Museum (jck.nl), https://www.joodsmonument.nl/nl/page/353234/arend-gompert-arie-englander-in-werkkamp-de-landweer-in-elsloo-1942"
161075,https://beeldbankwo2.nl/nl/beelden/detail/b6944b56-025a-11e7-904b-d89d6717b464/media/a457a485-6230-3a63-72d3-be0b183bb599?mode=detail&view=horizontal&q=161075&rows=1&page=1,https://images.memorix.nl/niod/download/default/a457a485-6230-3a63-72d3-be0b183bb599.jpg',photograph,,"Camp Westerbork, Hooghalen",6.607222,52.9175,2,2,0,0,"Beeldbank, could not find the photograph anywhere else"
161418,https://beeldbankwo2.nl/nl/beelden/detail/b71e85c8-025a-11e7-904b-d89d6717b464/media/fdd7f86a-07bd-8079-cc8f-97758fe635ba?mode=detail&view=horizontal&q=161418&rows=1&page=1,https://images.memorix.nl/niod/download/default/fdd7f86a-07bd-8079-cc8f-97758fe635ba.jpg',photograph,Taken by Van der Zee ?,"Camp De Fledders, Westervelde",6.450833,53.038056,5,0,5,0,De Fledders - Joodse Werkkampen
161473,https://beeldbankwo2.nl/nl/beelden/detail/b732fb48-025a-11e7-904b-d89d6717b464/media/2274abc2-4431-b323-a749-68cb4f548ab8?mode=detail&view=horizontal&q=161473&rows=1&page=1,https://images.memorix.nl/niod/download/default/2274abc2-4431-b323-a749-68cb4f548ab8.jpg',portrait,taken by Elisabeth List,"Camp De Landweer, Elsloo",6.2375,52.942778,3,0,3,0,Beeldbank
161489,https://beeldbankwo2.nl/nl/beelden/detail/b73befd2-025a-11e7-904b-d89d6717b464/media/d6e09a29-1d4f-fb22-7728-9f2e8b3927c0?mode=detail&view=horizontal&q=161489&rows=1&page=1,https://images.memorix.nl/niod/download/default/d6e09a29-1d4f-fb22-7728-9f2e8b3927c0.jpg', photograph,"Jewish neighbourhood in Waterlooplein, Amsterdam 1943","Waterlooplein, Amsterdam ",4.902835,52.367855,10,0,10,0,Beeldbank & Waterloopleinmarkt 1940 - 1945 - Waterloopleinmarkt Amsterdam
130729,https://beeldbankwo2.nl/nl/beelden/detail/86de49ca-025a-11e7-904b-d89d6717b464/media/dac1d7f5-c9b7-3ae4-6757-fdfae5824881?mode=detail&view=horizontal&q=130729&rows=1&page=1,https://images.memorix.nl/niod/download/default/dac1d7f5-c9b7-3ae4-6757-fdfae5824881.jpg',photograph,The Jewish Council Out-of-School Youth Care on Tilanusstraat ,"Extracurricular Jewish Youth Care, Amsterdam ",4.912045,52.358762,12,10,2,0,https://beeldbankwo2.nl/nl/beelden/detail/4044db6e-025a-11e7-904b-d89d6717b464/media/0ab0b2c2-1d6e-f836-6400-60603b1a7930?mode=detail&view=horizontal&q=schaken&rows=1&page=17
161061,https://beeldbankwo2.nl/nl/beelden/detail/b68f22fc-025a-11e7-904b-d89d6717b464/media/d3446eff-d792-f0b9-de5d-02dc39f769dd?mode=detail&view=horizontal&q=161061&rows=1&page=1,https://images.memorix.nl/niod/download/default/d3446eff-d792-f0b9-de5d-02dc39f769dd.jpg',portrait,E.J.A. Cohen en A.J. van Dam,Westerbork Hooghalen ,6.607222,52.9175,2,0,2,2,Beeldbank / Joods Historisch Museum (jck.nl)
161279,https://beeldbankwo2.nl/nl/beelden/detail/b6e8eaa8-025a-11e7-904b-d89d6717b464/media/1e1d3af1-c629-1b43-1aad-713f74453224?mode=detail&view=horizontal&q=161279&rows=1&page=1,https://images.memorix.nl/niod/download/default/1e1d3af1-c629-1b43-1aad-713f74453224.jpg',portrait,"not yet known who this is, taken by Jean Korf",Rotterdam ,4.462456,51.926517,1,0,1,0,Joods Historisch Museum (jck.nl)
161302,https://beeldbankwo2.nl/nl/beelden/detail/b6f19fe0-025a-11e7-904b-d89d6717b464/media/9413c2b3-fa77-70bb-58b4-5c9b98ca8ad9?mode=detail&view=horizontal&q=161302&rows=1&page=1,https://images.memorix.nl/niod/download/default/9413c2b3-fa77-70bb-58b4-5c9b98ca8ad9.jpg',portrait,One of the children Keizer: Alfred or Robert. Their sister's name is Marianne. Were all sent to Auschwitz,Amsterdam ,4.897070,52.377956,1,1,0,0,Marianne Keizer (joodsmonument.nl)
161316,https://beeldbankwo2.nl/nl/beelden/detail/b6f6d19a-025a-11e7-904b-d89d6717b464/media/602d2a92-23d5-247b-30ca-141bd677c690?mode=detail&view=horizontal&q=161316&rows=1&page=1,https://images.memorix.nl/niod/download/default/602d2a92-23d5-247b-30ca-141bd677c690.jpg',portrait,Max Smeer. In the source cell there is a document with his identity and the same adress as in the Beeldbank. Therese Schwartzplein 19H,"Home of M. Smeer, Amsterdam ",4.897377,52.349970,1,1,0,1,Search for documents in the Arolsen Archives | 1242019 - S (arolsen-archives.org)
161434,https://beeldbankwo2.nl/nl/beelden/detail/b724869e-025a-11e7-904b-d89d6717b464/media/67ec08de-6f40-e0f3-a871-8da15bfa77eb?mode=detail&view=horizontal&q=161434&rows=1&page=1,https://images.memorix.nl/niod/download/default/67ec08de-6f40-e0f3-a871-8da15bfa77eb.jpg',portrait,Remade to be specific for kosher meat for Jewish people until 1943 (even though this was one of the antisemitic regulations),"Old 'Vleeshal', Amsterdam ",4.902976,52.367824,19,0,19,0,Een nieuwe en gemeenschappelijke Vleeshal - ONH
